Year,Quarter,Medium,Incident Type,Central Government,Charitable and voluntary,Education and childcare,"Finance, insurance and credit",General business,Health,Justice,Land or property services,Legal,Local government,Marketing,Media,Membership association,Online Technology and Telecoms,Political,Regulators,Religious,Retail and manufacture,Social care,Transport and leisure,Unassigned,Utilities,Grand Total
2019,3,Non-cyber ,Alteration of personal data,,,,,1,1,1,,,,,,,,,,,,,,,,3
2019,3,Non-cyber ,Cryptographic flaw,,,,,,,,,,,,,,,,,,,,1,,,1
2019,3,Non-cyber ,Data emailed to incorrect recipient,6,4,48,32,22,35,1,17,49,27,1,,3,1,,1,1,8,6,5,,2,269
2019,3,Non-cyber ,Data of wrong data subject shown in client portal,1,,2,3,5,4,,,,,,,,1,,,,,,,,2,18
2019,3,Non-cyber ,Data posted or faxed to incorrect recipient,17,5,26,53,20,66,5,4,31,35,,1,3,,1,,,4,3,2,,10,286
2019,3,Non-cyber ,Failure to redact,4,2,15,4,1,5,7,2,10,21,1,,,,,,1,1,,1,,,75
2019,3,Non-cyber ,Failure to use bcc,3,3,12,6,8,4,1,5,1,7,,,3,2,1,,,2,2,7,,,67
2019,3,Non-cyber ,Incorrect disposal of paperwork,,1,1,,,1,,,,1,,,1,,,,,1,,,,,6
2019,3,Non-cyber ,Loss/theft of device containing personal data,2,10,24,6,17,15,2,4,14,9,1,,1,2,,,,7,2,3,,1,120
2019,3,Non-cyber ,Loss/theft of paperwork or data left in insecure location,13,19,41,10,16,65,9,4,22,17,,1,6,2,1,1,1,11,11,2,,1,253
2019,3,Non-cyber ,Not Provided,6,1,18,14,6,26,3,2,9,10,,,,2,1,,2,5,,3,,3,111
2019,3,Non-cyber ,Other non-cyber incident,22,31,147,72,103,238,19,27,41,102,2,2,6,18,4,2,7,34,15,24,,13,929
2019,3,Non-cyber ,Verbal disclosure of personal data,1,3,11,2,3,25,3,1,1,14,,,,,,,,,3,4,,2,73
2019,3,Cyber,Brute Force,,,1,,,,,,,,,,,,,,,,,,,,1
2019,3,Cyber,Hardware/software misconfiguration,2,,7,10,2,2,1,3,,2,,1,,5,,,,2,,1,,1,39
2019,3,Cyber,Malware,,2,1,,5,3,,1,,1,1,,,,,,,8,,4,,,26
2019,3,Cyber,Other cyber incident,2,2,10,5,6,3,,4,1,,,1,,5,,,1,13,,7,,,60
2019,3,Cyber,Phishing,3,12,39,30,59,21,,17,37,6,3,,3,15,,,,18,2,14,,2,281
2019,3,Cyber,Ransomware,,,6,2,6,,,,,,1,,1,4,,,1,4,3,,,,28
2019,3,Cyber,Unauthorised access,1,7,20,9,21,28,1,2,7,4,1,2,,11,,1,2,18,,7,1,6,149
,,,,,,,,,,,,,,,,,,,,,,,,,,
