Year,Quarter,Medium,INCIDENT TYPE,Central Government,Charitable and voluntary,Education and childcare,"Finance, insurance and credit",General business,Health,Justice,Land or property services,Legal,Local government,Marketing,Media,Membership association,Online Technology and Telecoms,Political,Regulators,Religious,Retail and manufacture,Social care,Transport and leisure,Utilities,Grand Total
2020,1,Cyber,Brute Force,,1,1,1,,1,,2,,,,1,,,,,,10,,1,,18
2020,1,Cyber,Hardware/software misconfiguration,,1,2,1,,,1,,,1,,,,,,,,1,,,,7
2020,1,Cyber,Malware,,,1,1,1,,,1,1,1,,,1,3,,,,4,,2,,16
2020,1,Cyber,Other cyber incident,,1,3,8,3,,,,2,2,,,,6,,,,10,2,1,,38
2020,1,Cyber,Phishing,,16,28,24,4,8,,18,21,2,,,4,10,,,1,37,5,7,,185
2020,1,Cyber,Ransomware,,6,7,7,2,2,,2,1,1,,2,3,3,,,,17,1,5,2,61
2020,1,Cyber,Unauthorised access,,5,11,10,1,21,,2,4,7,,1,1,8,,,,13,1,2,,87
2020,1,Cyber,Cyber Security Incidents Total,,30,53,52,11,32,1,25,29,14,,4,9,30,,,1,92,9,18,2,412
2020,1,Non-cyber,Alteration of personal data,,,,1,,,,,,,,,,,,,,,,,,1
2020,1,Non-cyber,Data emailed to incorrect recipient,7,16,56,37,9,23,7,15,27,22,1,,6,3,2,2,,23,7,3,,266
2020,1,Non-cyber,Data of wrong data subject shown in client portal,,,2,5,1,,,,,1,,,,1,,,,3,,,,13
2020,1,Non-cyber,Data posted or faxed to incorrect recipient,7,7,3,21,5,31,3,4,20,22,,,,3,,,,9,1,1,3,140
2020,1,Non-cyber,Failure to redact,1,3,5,3,1,6,5,,8,12,,,1,2,,1,,,2,1,,51
2020,1,Non-cyber,Failure to use bcc,4,6,32,4,2,11,,4,1,6,,,5,3,,,,8,1,,1,88
2020,1,Non-cyber,Incorrect disposal of hardware,,,,,,,,,,,,,1,,,,,,,,,1
2020,1,Non-cyber,Incorrect disposal of paperwork,,,,,,1,,,1,,,,,,,,,,,,,2
2020,1,Non-cyber,Loss/theft of device containing personal data,,,4,1,,3,2,1,2,1,,,1,,,,,1,3,1,,20
2020,1,Non-cyber,Loss/theft of paperwork or data left in insecure location,1,4,6,6,2,23,3,2,6,3,,,,,,,,2,4,,,62
2020,1,Non-cyber,Not Provided,3,,10,3,1,6,3,,,2,,,,2,1,,,2,,3,1,37
2020,1,Non-cyber,Other non-cyber incident,13,20,36,32,12,66,10,14,11,27,2,1,3,9,3,,1,34,12,9,2,317
2020,1,Non-cyber,Verbal disclosure of personal data,,1,4,2,1,12,1,3,2,4,,,,,,,1,1,2,,2,36
2020,1,Non-cyber,Non-cyber security incidents Total,36,57,158,115,34,182,34,43,78,100,3,1,17,23,6,3,2,83,32,18,9,1034
