Year,Quarter,Medium,Incident Type,Central Government,Charitable and voluntary,Education and childcare,"Finance, insurance and credit",General business,Health,Justice,Land or property services,Legal,Local government,Marketing,Media,Membership association,Online Technology and Telecoms,Political,Regulators,Religious,Retail and manufacture,Social care,Transport and leisure,Utilities,Grand Total
2020,4,Non-cyber,Alteration of personal data,,,,1,,,,,,1,,,,,,,,2,,,,4
2020,4,Non-cyber,Data emailed to incorrect recipient,7,20,89,46,15,67,3,18,65,40,,,5,9,,4,,22,19,13,1,443
2020,4,Non-cyber,Data of wrong data subject shown in client portal,,2,6,4,1,4,,3,,5,,,,,,,,,,,1,26
2020,4,Non-cyber,Data posted or faxed to incorrect recipient,14,9,13,34,4,47,6,5,31,43,,,2,5,,,1,8,4,3,4,233
2020,4,Non-cyber,Failure to redact,11,3,6,4,3,14,4,3,8,34,,,1,,2,4,1,2,2,3,,105
2020,4,Non-cyber,Failure to use bcc,3,6,13,1,5,13,,2,,8,,1,1,6,,,,1,1,,1,62
2020,4,Non-cyber,Incorrect disposal of hardware,,,,,,1,,,,,,,,,,,,,,,,1
2020,4,Non-cyber,Incorrect disposal of paperwork,1,,1,1,1,,,2,,,,,,,,,,,1,,,7
2020,4,Non-cyber,Loss/theft of device containing personal data,4,1,10,1,1,5,,1,4,1,,,2,,,,1,3,1,,,35
2020,4,Non-cyber,Loss/theft of paperwork or data left in insecure location,8,9,18,11,5,56,5,2,9,11,,,3,,1,,,5,8,2,1,154
2020,4,Non-cyber,Not Provided,3,7,18,12,7,11,1,5,5,12,,2,2,2,,1,1,10,4,1,1,105
2020,4,Non-cyber,Other non-cyber incident,15,24,62,29,14,90,7,11,11,40,,,5,12,3,,,26,10,4,1,364
2020,4,Non-cyber,Unauthorised access (non-cyber),6,8,18,10,10,45,4,5,2,16,2,1,3,1,,1,,15,4,3,2,156
2020,4,Non-cyber,Verbal disclosure of personal data,,1,8,5,,27,4,7,1,10,,,,,,1,,5,,2,,71
2020,4,Cyber,Brute Force,,,1,4,1,,,,,,,,1,1,,,,1,,2,1,12
2020,4,Cyber,Denial of service,,1,1,,1,2,,,,1,,,1,,,,,1,1,,,9
2020,4,Cyber,Hardware/software misconfiguration,1,2,5,2,1,7,,3,,2,,2,,3,,1,,5,,2,,36
2020,4,Cyber,Malware,,3,,8,5,1,1,4,4,1,,1,,2,,,,13,1,2,,46
2020,4,Cyber,Other cyber incident,2,7,11,10,7,5,,4,8,1,,,2,7,,,,21,1,2,2,90
2020,4,Cyber,Phishing,,22,22,41,9,21,,26,25,10,1,1,4,13,,,1,40,2,7,4,249
2020,4,Cyber,Ransomware,1,7,34,25,11,2,,6,3,2,3,,,9,,,,39,1,6,1,150
2020,4,Cyber,Unauthorised access,2,2,6,6,3,2,,5,6,2,,,4,7,1,,,14,1,5,1,67
